fastqs,sample,library_type
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375047,SRR17375047,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375050,SRR17375050,Gene Expression
