fastqs,sample,library_type
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375051,SRR17375051,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375052,SRR17375052,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375053,SRR17375053,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375054,SRR17375054,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375055,SRR17375055,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375056,SRR17375056,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375057,SRR17375057,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375058,SRR17375058,Gene Expression
