fastqs,sample,library_type
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374977,SRR17374977,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374978,SRR17374978,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374981,SRR17374981,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374982,SRR17374982,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374985,SRR17374985,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374986,SRR17374986,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374989,SRR17374989,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374990,SRR17374990,Gene Expression
